task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
main_compat_ETTm1_H720_PatchMLP_reference,main_compat,ETTm1,720,PatchMLP,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTm1/PatchMLP; paper row retained for coverage.
main_compat_ETTm1_H720_PatchTST_s2021,main_compat,ETTm1,720,PatchTST,2021,,completed,,,,,,,128,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,f6914c876907dbe3,f6914c876907dbe3,68a810e1661046b9,68a810e1661046b9,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm1_H720_PatchTST_s2021/test_report.1778769162.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.2902.csv,
main_compat_ETTm1_H720_TimeMixer_s2021,main_compat,ETTm1,720,TimeMixer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,a8e6d2aa44cf0d8d,a8e6d2aa44cf0d8d,e774d0184202dcdc,e774d0184202dcdc,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm1_H720_TimeMixer_s2021/test_report.1778770666.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.3179.csv,
main_compat_ETTm1_H720_TimesNet_s2021,main_compat,ETTm1,720,TimesNet,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,445ef9dce5313b18,445ef9dce5313b18,65255b01b4dd2d40,65255b01b4dd2d40,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm1_H720_TimesNet_s2021/test_report.1778771745.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4123.csv,
main_compat_ETTm1_H720_iTransformer_s2021,main_compat,ETTm1,720,iTransformer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,8854607b7c5f0656,8854607b7c5f0656,285199a3350c9e20,285199a3350c9e20,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm1_H720_iTransformer_s2021/test_report.1778771593.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4286.csv,
main_compat_ETTm1_H720_xPatch_reference,main_compat,ETTm1,720,xPatch,,,reference-only,,,,,,,,,,,,,,,,,,,,,No official main script for ETTm1/xPatch; paper row retained for coverage.
main_compat_ETTm2_H96_DLinear_s2021,main_compat,ETTm2,96,DLinear,2021,,completed,,,,,,,8,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,5a5ea112117154b2,5a5ea112117154b2,084f1863b63786da,084f1863b63786da,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_DLinear_s2021/test_report.1778771655.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4346.csv,
main_compat_ETTm2_H96_PatchMLP_s2021,main_compat,ETTm2,96,PatchMLP,2021,,completed,,,,,,,32,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,102089abba2e4287,102089abba2e4287,5f230c1d661d73e8,5f230c1d661d73e8,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_PatchMLP_s2021/test_report.1778772023.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4506.csv,
main_compat_ETTm2_H96_PatchTST_s2021,main_compat,ETTm2,96,PatchTST,2021,,completed,,,,,,,32,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,06810aed896a6448,06810aed896a6448,578882c5fa8119ce,578882c5fa8119ce,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_PatchTST_s2021/test_report.1778772084.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4626.csv,
main_compat_ETTm2_H96_TimeMixer_s2021,main_compat,ETTm2,96,TimeMixer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,7cd944fd14730a01,7cd944fd14730a01,da6bc15a47a3c271,da6bc15a47a3c271,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_TimeMixer_s2021/test_report.1778774290.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4772.csv,
main_compat_ETTm2_H96_TimesNet_s2021,main_compat,ETTm2,96,TimesNet,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,2c0b6d546bd6f978,2c0b6d546bd6f978,123d21303b68b008,123d21303b68b008,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_TimesNet_s2021/test_report.1778774045.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5422.csv,
main_compat_ETTm2_H96_iTransformer_s2021,main_compat,ETTm2,96,iTransformer,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,24c95a19d6211f6f,24c95a19d6211f6f,9408fd019ca0dd58,9408fd019ca0dd58,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_iTransformer_s2021/test_report.1778774198.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.5777.csv,
main_compat_ETTm2_H96_xPatch_s2021,main_compat,ETTm2,96,xPatch,2021,,completed,,,,,,,256,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,aa65895d952da6c3,aa65895d952da6c3,f8c11dc285797df2,f8c11dc285797df2,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H96_xPatch_s2021/test_report.1778774803.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.7321.csv,
main_compat_ETTm2_H192_DLinear_s2021,main_compat,ETTm2,192,DLinear,2021,,completed,,,,,,,8,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,5c7f0efa355ab2ab,5c7f0efa355ab2ab,596bdcc048390d02,596bdcc048390d02,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_DLinear_s2021/test_report.1778771802.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4385.csv,
main_compat_ETTm2_H192_PatchMLP_s2021,main_compat,ETTm2,192,PatchMLP,2021,,completed,,,,,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,d5b9e09682ec21d3,d5b9e09682ec21d3,0e51fc624d0fea29,0e51fc624d0fea29,/home/ubuntu/SRSNet/result/repro/main-compat/main_compat/main_compat_ETTm2_H192_PatchMLP_s2021/test_report.1778771881.dc579489-fd72-4736-89a9-b06b8f0a5328-66cdb45b95-wrvsn.4524.csv,
