model,dataset,horizon,ours_MSE,ours_MAE,paper_MSE,paper_MAE,delta_MSE_pct,delta_MAE_pct
TimeMixer,ETTh2,720,0.4153,0.4411,0.401,0.436,+3.57,+1.17
TimeMixer,ETTm1,96,0.3267,0.3724,0.293,0.345,+11.49,+7.96
TimeMixer,ETTm1,192,0.3898,0.4124,0.335,0.372,+16.37,+10.87
TimeMixer,ETTm1,336,0.4372,0.4415,0.368,0.386,+18.79,+14.38
TimeMixer,ETTm1,720,0.4845,0.4791,0.426,0.417,+13.74,+14.88
TimeMixer,ETTm2,96,0.1507,0.2564,0.165,0.256,-8.68,+0.15
TimeMixer,ETTm2,192,0.1868,0.2882,0.225,0.298,-16.96,-3.27
TimeMixer,ETTm2,336,0.2279,0.3177,0.277,0.332,-17.72,-4.31
TimeMixer,ETTm2,720,0.2788,0.3583,0.360,0.387,-22.55,-7.43
xPatch,ETTh1,96,,,0.368,0.396,,
xPatch,ETTh1,192,,,0.408,0.421,,
xPatch,ETTh1,336,,,0.436,0.435,,
xPatch,ETTh1,720,,,0.453,0.465,,
xPatch,ETTm2,96,,,0.160,0.245,,
xPatch,ETTm2,192,,,0.219,0.287,,
xPatch,ETTm2,336,,,0.272,0.323,,
xPatch,ETTm2,720,,,0.361,0.378,,
PatchMLP,ETTh1,96,0.4406,0.4459,0.380,0.395,+15.96,+12.90
PatchMLP,ETTh1,192,0.4925,0.4988,0.430,0.441,+14.53,+13.10
PatchMLP,ETTh1,336,0.5688,0.5500,0.451,0.453,+26.12,+21.42
PatchMLP,ETTh1,720,0.7002,0.6357,0.479,0.484,+46.18,+31.33
PatchMLP,ETTm2,96,0.1542,0.2573,0.168,0.259,-8.19,-0.66
PatchMLP,ETTm2,192,0.1914,0.2915,0.228,0.300,-16.07,-2.85
PatchMLP,ETTm2,336,0.2384,0.3275,0.275,0.330,-13.32,-0.76
PatchMLP,ETTm2,720,0.2952,0.3690,0.371,0.398,-20.42,-7.29
