dataset,horizon,seed,model,mse_norm,mae_norm,baseline_mse_norm,delta_mse_vs_srsnet_pct,baseline_mae_norm,delta_mae_vs_srsnet_pct
ETTm2,96,2022,SRSNet_TASP_HypernetAF,0.1482,0.2518,0.1483,-0.05,0.2525,-0.26
ETTm2,96,2023,SRSNet_TASP_HypernetAF,0.1486,0.2524,0.1477,+0.57,0.2530,-0.23
ETTm2,96,2024,SRSNet_TASP_HypernetAF,0.1479,0.2520,0.1487,-0.50,0.2538,-0.68
ETTm2,96,2025,SRSNet_TASP_HypernetAF,0.1483,0.2521,0.1494,-0.73,0.2539,-0.70
ETTm2,720,2021,SRSNet_TASP_HypernetAF,0.2723,0.3475,0.2673,+1.88,0.3441,+0.99
ETTm2,720,2022,SRSNet_TASP_HypernetAF,0.2696,0.3476,0.2631,+2.47,0.3436,+1.17
ETTm2,720,2023,SRSNet_TASP_HypernetAF,0.2712,0.3479,0.2702,+0.36,0.3494,-0.44
ETTm2,720,2024,SRSNet_TASP_HypernetAF,0.2721,0.3492,0.2780,-2.15,0.3544,-1.46
ETTm2,720,2025,SRSNet_TASP_HypernetAF,0.2735,0.3465,0.2752,-0.64,0.3489,-0.70
ETTh1,96,2021,SRSNet_TASP_NoShuffle_HypernetAF,0.4368,0.4535,0.4360,+0.18,0.4531,+0.09
ETTh1,96,2022,SRSNet_TASP_NoShuffle_HypernetAF,0.4364,0.4530,0.4359,+0.12,0.4523,+0.15
ETTh1,96,2023,SRSNet_TASP_NoShuffle_HypernetAF,0.4361,0.4529,0.4364,-0.07,0.4534,-0.12
ETTh1,96,2024,SRSNet_TASP_NoShuffle_HypernetAF,0.4362,0.4530,0.4365,-0.06,0.4535,-0.10
ETTh1,96,2025,SRSNet_TASP_NoShuffle_HypernetAF,0.4370,0.4534,0.4350,+0.46,0.4531,+0.07
ETTh1,720,2021,SRSNet_TASP_NoShuffle_HypernetAF,0.6555,0.6015,0.6577,-0.34,0.6025,-0.16
ETTh1,720,2022,SRSNet_TASP_NoShuffle_HypernetAF,0.6566,0.6012,0.6621,-0.83,0.6065,-0.87
ETTh1,720,2023,SRSNet_TASP_NoShuffle_HypernetAF,0.6571,0.6025,0.6582,-0.16,0.6033,-0.14
ETTh1,720,2024,SRSNet_TASP_NoShuffle_HypernetAF,0.6551,0.6017,0.6643,-1.39,0.6065,-0.79
ETTh1,720,2025,SRSNet_TASP_NoShuffle_HypernetAF,0.6570,0.6027,0.6598,-0.43,0.6039,-0.19
ETTm2,96,2021,SRSNet_TASP_NoShuffle_HypernetAF,0.1485,0.2523,0.1464,+1.46,0.2515,+0.33
ETTm2,96,2022,SRSNet_TASP_NoShuffle_HypernetAF,0.1485,0.2522,0.1483,+0.11,0.2525,-0.11
