task_id,table,dataset,horizon,model,seed,seq_len,status,mse,mae,paper_mse,paper_mae,delta_mse,delta_mae,final_batch_size,metric_space,parameters,train_time_s_per_batch,inference_time_s_per_batch,max_gpu_memory_mb,train_gpu_memory_mb,inference_gpu_memory_mb,macs,command_hash,requested_command_hash,config_hash,requested_config_hash,result_file,note
table2_baselines_ETTm2_H96_TimesNet_lite_omitted,table2_baselines,ETTm2,96,TimesNet,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H96_xPatch_lite_omitted,table2_baselines,ETTm2,96,xPatch,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H192_DLinear_lite_omitted,table2_baselines,ETTm2,192,DLinear,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H192_PatchMLP_lite_omitted,table2_baselines,ETTm2,192,PatchMLP,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H192_TimeMixer_lite_omitted,table2_baselines,ETTm2,192,TimeMixer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H192_TimesNet_lite_omitted,table2_baselines,ETTm2,192,TimesNet,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H192_xPatch_lite_omitted,table2_baselines,ETTm2,192,xPatch,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H336_DLinear_lite_omitted,table2_baselines,ETTm2,336,DLinear,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H336_PatchMLP_lite_omitted,table2_baselines,ETTm2,336,PatchMLP,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H336_TimeMixer_lite_omitted,table2_baselines,ETTm2,336,TimeMixer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H336_TimesNet_lite_omitted,table2_baselines,ETTm2,336,TimesNet,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H336_xPatch_lite_omitted,table2_baselines,ETTm2,336,xPatch,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H720_DLinear_lite_omitted,table2_baselines,ETTm2,720,DLinear,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H720_PatchMLP_lite_omitted,table2_baselines,ETTm2,720,PatchMLP,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H720_TimeMixer_lite_omitted,table2_baselines,ETTm2,720,TimeMixer,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H720_TimesNet_lite_omitted,table2_baselines,ETTm2,720,TimesNet,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_baselines_ETTm2_H720_xPatch_lite_omitted,table2_baselines,ETTm2,720,xPatch,,,omitted-lite,,,,,,,,,,,,,,,,,,,,,Full baseline matrix omitted from lite-paper scope; run full-paper for this row.
table2_srsnet_ETTh1_H96_SRSNet_s2021,table2_srsnet,ETTh1,96,SRSNet,2021,,completed,,,0.366,0.394,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,baa402d317a7dfc4,baa402d317a7dfc4,8416456685ab7154,8416456685ab7154,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh1_H96_SRSNet_s2021/test_report.1778738869.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203625.csv,
table2_srsnet_ETTh1_H192_SRSNet_s2021,table2_srsnet,ETTh1,192,SRSNet,2021,,completed,,,0.4,0.415,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,94dd76afe0e1c1db,94dd76afe0e1c1db,29e246229e0024f3,29e246229e0024f3,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh1_H192_SRSNet_s2021/test_report.1778738876.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203626.csv,
table2_srsnet_ETTh1_H336_SRSNet_s2021,table2_srsnet,ETTh1,336,SRSNet,2021,,completed,,,0.424,0.43,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,d265ae3be7b7720e,d265ae3be7b7720e,8108e2be409a3449,8108e2be409a3449,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh1_H336_SRSNet_s2021/test_report.1778738878.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203627.csv,
table2_srsnet_ETTh1_H720_SRSNet_s2021,table2_srsnet,ETTh1,720,SRSNet,2021,,completed,,,0.426,0.455,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,6cf3f24f8245e252,6cf3f24f8245e252,6f0bd1cf3bbb4de0,6f0bd1cf3bbb4de0,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh1_H720_SRSNet_s2021/test_report.1778738846.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203628.csv,
table2_srsnet_ETTh2_H96_SRSNet_s2021,table2_srsnet,ETTh2,96,SRSNet,2021,,completed,,,0.271,0.338,,,64,"mse_norm/mae_norm after model inverse_transform, normalized by the evaluator train split scaler",,,,,,,,548b73b4f4a73765,548b73b4f4a73765,629d23796a3f300f,629d23796a3f300f,/home/ubuntu/SRSNet/result/repro/lite-paper/table2_srsnet/table2_srsnet_ETTh2_H96_SRSNet_s2021/test_report.1778738948.4e2bb402-a76f-432c-8ae1-e63613e38412-7dd7fd5db6-zgn69.203704.csv,
